TICKER;DENOM_CIA;CD_CVM;DT_REFER;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ESCALA_MOEDA;MOEDA;ST_CONTA_FIXA
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08;Outros Ativos Circulantes;1893561.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08;Outros Ativos Circulantes;867388.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.01;Ativos Não-Correntes a Venda;60792.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.01.01;Ativos mantidos para venda;0.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.01.01;Ativos mantidos para venda;0.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03;Outros;1832769.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03;Outros;867388.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03.01;Dividendos e juros sobre capital próprio a receber;17.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03.01;Dividendos e juros sobre capital próprio a receber;541.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03.02;Outros ativos;210742.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03.02;Outros ativos;175028.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03.03;Titulos e valores mobiliários;812795.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03.03;Titulos e valores mobiliários;416287.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03.04;Recebíveis de partes relacionadas;102665.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03.04;Recebíveis de partes relacionadas;118275.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03.05;Instrumentos financeiros derivativos;706550.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03.05;Instrumentos financeiros derivativos;157257.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.01.08.03.06;Outros ativos financeiros;0.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.01.08.03.06;Outros ativos financeiros;0.0000000000;MIL;REAL;N
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.02;Ativo Não Circulante;39720464.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.02;Ativo Não Circulante;44063235.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.02.01;Ativo Realizável a Longo Prazo;12417122.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.02.01;Ativo Realizável a Longo Prazo;13247323.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;MIL;REAL;S
