TICKER;CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03;Contas a Receber;10619617.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03.01;Clientes;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03.01;Clientes;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.04;Estoques;1097238.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.04;Estoques;1475998.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.06;Tributos a Recuperar;3158787.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.06;Tributos a Recuperar;3043886.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.06.01;Tributos Correntes a Recuperar;3158787.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.06.01;Tributos Correntes a Recuperar;3043886.0000000000;S
