TICKER;CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.08;Perdas Estimadas para a Redução ao Valor Recuperável das Contas a Receber;1523263.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.08;Perdas Estimadas para a Redução ao Valor Recuperável das Contas a Receber;1581337.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.09;Mudanças em Provisões Passivas;93049.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.09;Mudanças em Provisões Passivas;167696.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.10;Provisões para Perdas Estimadas para a Redução ao Valor Realizável dos Estoques;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.10;Provisões para Perdas Estimadas para a Redução ao Valor Realizável dos Estoques;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.11;Planos de Previdência e Outros Benefícios Pós-Emprego;84351.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.11;Planos de Previdência e Outros Benefícios Pós-Emprego;-39988.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.12;Provisões para Demandas Judiciais;321936.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.12;Provisões para Demandas Judiciais;731863.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.13;Despesas de Juros (Empréstimos, Financiamentos, Arrendamentos e Operações com Derivativos);2141361.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.13;Despesas de Juros (Empréstimos, Financiamentos, Arrendamentos e Operações com Derivativos);2325052.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.14;Ganho na Remensuração das Participações Acionárias na Aquisição do Controle e Outros Ganhos com Inve;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.14;Ganho na Remensuração das Participações Acionárias na Aquisição do Controle e Outros Ganhos com Inve;-134904.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.15;Reversão das Provisões de Multas por Cancelamento de Contratos de Arrendamento e Desmantelamento;-15881.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.15;Reversão das Provisões de Multas por Cancelamento de Contratos de Arrendamento e Desmantelamento;-22626.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.16;Reversão das Provisões de Valores a Restituir a Clientes;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.16;Reversão das Provisões de Valores a Restituir a Clientes;-90663.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.17;Acordo de Solução de Controvérsia - Aquisição de UPI Móvel da Oi;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.17;Acordo de Solução de Controvérsia - Aquisição de UPI Móvel da Oi;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.01.18;Outros;43100.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.01.18;Outros;68019.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02;Variações nos Ativos e Passivos;-4752350.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02;Variações nos Ativos e Passivos;-6179772.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.01;Contas a Receber;-1661763.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.01;Contas a Receber;-2446687.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.02;Estoques;-311237.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.02;Estoques;-423198.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.03;Tributos a Recuperar;-444717.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.03;Tributos a Recuperar;-797300.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.04;Despesas Antecipadas;-1052392.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.04;Despesas Antecipadas;-924228.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.05;Outros Ativos;160656.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.05;Outros Ativos;33819.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.06;Pessoal, Encargos e Benefícios Sociais;24494.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.06;Pessoal, Encargos e Benefícios Sociais;38897.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.07;Fornecedores;1097113.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.07;Fornecedores;507945.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.08;Impostos, Taxas e Contribuições;888489.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.08;Impostos, Taxas e Contribuições;1898270.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.09;Prov. p/ Demandas Judiciais, Valores a Restituir a Clientes e Prov. p/ Multas Canc;-861325.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.09;Prov. p/ Demandas Judiciais, Valores a Restituir a Clientes e Prov. p/ Multas Canc;-988197.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.10;Outros Passivos;348417.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.10;Outros Passivos;125871.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.11;Juros Pagos de Empréstimos, Financiamentos, Debêntures e Arrendamentos;-2078021.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.11;Juros Pagos de Empréstimos, Financiamentos, Debêntures e Arrendamentos;-2308755.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.02.12;Imposto de Renda e Contribuição Social Pagos;-862064.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.02.12;Imposto de Renda e Contribuição Social Pagos;-896209.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.01.03;Outros;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.01.03;Outros;0.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02;Caixa Líquido Atividades de Investimento;-8914793.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02;Caixa Líquido Atividades de Investimento;-10017519.0000000000;S
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.01;Aquisições de Imobilizado e Intangível;-9324123.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.01;Aquisições de Imobilizado e Intangível;-9457557.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.02;Caixa Recebido na Venda de Ativo Imobilizado;376591.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.02;Caixa Recebido na Venda de Ativo Imobilizado;436542.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.03;Resgate Líquido de Depósitos Judiciais;45454.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.03;Resgate Líquido de Depósitos Judiciais;156957.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.04;Pagamentos por Aquisição de Investimentos, Líquidos do Caixa Adquirido e Aportes de Capital nas Inve;-168521.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.04;Pagamentos por Aquisição de Investimentos, Líquidos do Caixa Adquirido e Aportes de Capital nas Inve;-1064753.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.05;Caixa Recebido pela Alienação de Investimentos;161057.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.05;Caixa Recebido pela Alienação de Investimentos;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.06;Contrato de Mútuo com Controlada CloudCo Brasil;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.06;Contrato de Mútuo com Controlada CloudCo Brasil;0.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;6.02.08;Recebimento de Dividendos e Juros sobre o Capital Próprio;51.0000000000;N
VIVT3;02.558.157/0001-62;2025-12-31;1;TELEFÔNICA BRASIL S.A;017671;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;6.02.08;Recebimento de Dividendos e Juros sobre o Capital Próprio;0.0000000000;N
